Early Morning,2 glass Luke Warm Water,,,,,,,,,,,,,
Morning Supp.,"Ashwagandha (max 500 gm), Vitamin E (evion 400), Shilajeet (Max 500gm - upto 1000mg)",,,,,,,,,,,,1 glass Milk - 240 ml,
Afternoon,Black Coffee,,,,,,,,,,,,,
Post Dinner,"Sea Code Liver Oil, Vitamin D3 - upto 5000 lu",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Masala-1,"HImalayan Pink Salt (3gm), Ginger, Garlic, Green Chilli, Jeera, Turmeric, Dhaniya Powder, Kitchen King Masala",,,,,,,,,,,,,
Masala-2,"HImalayan Pink Salt (3gm), Oregano, Chilli flakes, Black Pepper (Chaat Masala)",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,every month 1 week same diet from remission last 3/4/5 week's,,,,,,,,,,,,,
AMLYCURE DS,1-2 hrs before breakfast and dinner for liver ,,,,,,,,,,,,,
,,,,,,,,,,Red BP,40gm,,,
,,,,,,,,,,Pasta-Penne,55gm,,,
,,,,,,,,,,Olive Oil,12gm,,,
,,,,,,,,,,Pizza Pasta Sauce,12gm,,,
,,,,,,,,,,,,,,
Diet - 10,Avocado Omelete + BB Toast,,,Mix Fruit Salad,,,,,,Paneer Mix Veg Stir Fry,,,Post Workout,
,Masala-2,,,Red Apple,100gm,,,,,Masala 1,,,Oats,30gm
,Egg Whole,2,,Pear,100gm,,,,,Onion,80gm,,Peanut Butter,40gm
,Egg White,2,,Cantaloupe,100gm,,,,,Tomato,80gm,,Milk,1 glass
,Onion,40gm,,Almonds,14gm,,,,,Paneer,100gm,,Whey Isolate,45gm
,Avocado,50gm,,Cashew,14gm,,,,,Zucchini,120gm,,,
,Red BP,40gm,,,,,,,,Potato,100gm,,,
,Butter,12gm,,,,,,,,Matar,40gm,,,
,BB Toast,3,,,,,,,,White Rice,45gm,,,
,Ketchup,12gm,,,,,,,,Olive Oil,12gm,,,
,,,,,,,,,,,,,,
Diet - 11,Paneer bhurji Tortilla wrap,,,Mix Fruit Salad,,,,,,Chicken cabbage Roti,,,Post Workout,
,Masala 2,,,Red Apple,120gm,,,,,Masala 1,,,Strawberry ,80gm
,Onion,70gm ,,Watermelon,200gm,,,,,Onion,80gm ,,Blueberries ,50gm
,Tomato,70gm ,,Plum,80gm ,,,,,Tomato,80gm ,,Milk,1 glass
,Paneer,80gm ,,Pears,120gm,,,,,Chicken breast ,140gm ,,Whey Isolate,50gm
,Capsicum,40gm ,,,,,,,,Cabbage,100gm ,,Honey,12gm
,Yellow BP,40gm ,,,,,,,,Carrot,80gm ,,,
,Butter,12gm,,,,,,,,Matar,50gm,,,
,Tortilla large,1,,,,,,,,Red BP,50gm,,,
,Ketchup ,12gm,,,,,,,,Olive oil ,14gm,,,
,,,,,,,,,,Wheat flour,40gm ,,,
,,,,,,,,,,Besan ,20gm,,,
,,,,,,,,,,,,,,
Diet - 12,Paneer Bhurji Sandwich,,,Chickpea Stir Fry,,,,,,Spinach Mushroom Curry + Rice,,,Post Workout,
,Masala 2,,,Chickpea Raw,50gm,,,,,Masala 1,,,Milk,1 glass
,Paneer,100gm,,Tomato,80gm,,,,,Pink Salt,3gm,,Whey isolate,50gm
,Tomato,50gm,,Cucumber,120gm,,,,,Tomato,80gm,,Banana,120gm
,Onion,50gm,,Onion,20gm,,,,,Onion,80gm,,Red Apple,120gm
,Capsicum,40gm,,Capsicum,40gm,,,,,Potato,120gm,,,
,Butter,12gm,,Lemon,,,,,,Spinach,100gm,,,
,BB Toast,4,,Black Pepper,,,,,,Mushroom,100gm,,,
,Ketchup,12gm,,Pink Salt,3gm,,,,,Matar,50gm,,,
,Pink Salt,3gm,,Chaat Masala,,,,,,Desi Ghee,12gm,,,
,,,,,,,,,,Fresh cream cooking,30gm,,,
,,,,,,,,,,White Rice,50gm,,,
,,,,,,,,,,,,,,
Diet - 13,Mix Veg Paneer Besan Chilla,,,Peanut Butter Banana Sandwich,,,,,,Aalo Soya Veg + Roti,,,Post Workout,
